Vivado Simulator 2020.2
Time resolution is 1 ps
           130.000ns : [drv] a = 0000001f, b = 1238b99a, mode = 0, sum = xxxxxxxx,carry = x
           140.000ns : [mon] a = 0000001f, b = 1238b99a, mode = 0, sum = 1238b9b9,carry = 0
           140.000ns : [scb] a = 0000001f, b = 1238b99a, mode = 0, sum = 1238b9b9,carry = 0
[Pass] : a =         31, b =  305707418, mode = 0, sum =  305707449,carry = 0
           140.000ns : [gen] a = 0000003f, b = ca19b80c, mode = 1, sum = xxxxxxxx,carry = x
           140.000ns : [drv] a = 0000003f, b = ca19b80c, mode = 1, sum = xxxxxxxx,carry = x
           150.000ns : [mon] a = 0000003f, b = ca19b80c, mode = 1, sum = 35e64833,carry = 1
           150.000ns : [scb] a = 0000003f, b = ca19b80c, mode = 1, sum = 35e64833,carry = 1
[Pass] : a =         63, b = 3390683148, mode = 1, sum =  904284211,carry = 1
           150.000ns : [gen] a = 000003ff, b = d13e65a9, mode = 0, sum = xxxxxxxx,carry = x
           150.000ns : [drv] a = 000003ff, b = d13e65a9, mode = 0, sum = xxxxxxxx,carry = x
           160.000ns : [mon] a = 000003ff, b = d13e65a9, mode = 0, sum = d13e69a8,carry = 0
           160.000ns : [scb] a = 000003ff, b = d13e65a9, mode = 0, sum = d13e69a8,carry = 0
[Pass] : a =       1023, b = 3510527401, mode = 0, sum = 3510528424,carry = 0
           160.000ns : [gen] a = 0000ffff, b = 235520f3, mode = 1, sum = xxxxxxxx,carry = x
           160.000ns : [drv] a = 0000ffff, b = 235520f3, mode = 1, sum = xxxxxxxx,carry = x
           170.000ns : [mon] a = 0000ffff, b = 235520f3, mode = 1, sum = dcabdf0c,carry = 1
           170.000ns : [scb] a = 0000ffff, b = 235520f3, mode = 1, sum = dcabdf0c,carry = 1
[Pass] : a =      65535, b =  592781555, mode = 1, sum = 3702251276,carry = 1
           170.000ns : [gen] a = 000003ff, b = 30534386, mode = 1, sum = xxxxxxxx,carry = x
           170.000ns : [drv] a = 000003ff, b = 30534386, mode = 1, sum = xxxxxxxx,carry = x
           180.000ns : [mon] a = 000003ff, b = 30534386, mode = 1, sum = cfacc079,carry = 1
           180.000ns : [scb] a = 000003ff, b = 30534386, mode = 1, sum = cfacc079,carry = 1
[Pass] : a =       1023, b =  810763142, mode = 1, sum = 3484205177,carry = 1
           180.000ns : [gen] a = 0000000f, b = 9aa2205e, mode = 0, sum = xxxxxxxx,carry = x
           180.000ns : [drv] a = 0000000f, b = 9aa2205e, mode = 0, sum = xxxxxxxx,carry = x
           190.000ns : [mon] a = 0000000f, b = 9aa2205e, mode = 0, sum = 9aa2206d,carry = 0
           190.000ns : [scb] a = 0000000f, b = 9aa2205e, mode = 0, sum = 9aa2206d,carry = 0
[Pass] : a =         15, b = 2594316382, mode = 0, sum = 2594316397,carry = 0
           190.000ns : [gen] a = 0000003f, b = 87a15efa, mode = 0, sum = xxxxxxxx,carry = x
           190.000ns : [drv] a = 0000003f, b = 87a15efa, mode = 0, sum = xxxxxxxx,carry = x
           200.000ns : [mon] a = 0000003f, b = 87a15efa, mode = 0, sum = 87a15f39,carry = 0
           200.000ns : [scb] a = 0000003f, b = 87a15efa, mode = 0, sum = 87a15f39,carry = 0
[Pass] : a =         63, b = 2275499770, mode = 0, sum = 2275499833,carry = 0
           200.000ns : [gen] a = 0000000f, b = fe042c45, mode = 0, sum = xxxxxxxx,carry = x
           200.000ns : [drv] a = 0000000f, b = fe042c45, mode = 0, sum = xxxxxxxx,carry = x
           210.000ns : [mon] a = 0000000f, b = fe042c45, mode = 0, sum = fe042c54,carry = 0
           210.000ns : [scb] a = 0000000f, b = fe042c45, mode = 0, sum = fe042c54,carry = 0
[Pass] : a =         15, b = 4261686341, mode = 0, sum = 4261686356,carry = 0
           210.000ns : [gen] a = 000003ff, b = eb661b1e, mode = 0, sum = xxxxxxxx,carry = x
           210.000ns : [drv] a = 000003ff, b = eb661b1e, mode = 0, sum = xxxxxxxx,carry = x
           220.000ns : [mon] a = 000003ff, b = eb661b1e, mode = 0, sum = eb661f1d,carry = 0
           220.000ns : [scb] a = 000003ff, b = eb661b1e, mode = 0, sum = eb661f1d,carry = 0
[Pass] : a =       1023, b = 3949337374, mode = 0, sum = 3949338397,carry = 0
           220.000ns : [gen] a = 00000000, b = 1281af7d, mode = 0, sum = xxxxxxxx,carry = x
           220.000ns : [drv] a = 00000000, b = 1281af7d, mode = 0, sum = xxxxxxxx,carry = x
           230.000ns : [mon] a = 00000000, b = 1281af7d, mode = 0, sum = 1281af7d,carry = 0
           230.000ns : [scb] a = 00000000, b = 1281af7d, mode = 0, sum = 1281af7d,carry = 0
[Pass] : a =          0, b =  310488957, mode = 0, sum =  310488957,carry = 0
           230.000ns : [gen] a = 0000001f, b = e4a6c87a, mode = 0, sum = xxxxxxxx,carry = x
           230.000ns : [drv] a = 0000001f, b = e4a6c87a, mode = 0, sum = xxxxxxxx,carry = x
           240.000ns : [mon] a = 0000001f, b = e4a6c87a, mode = 0, sum = e4a6c899,carry = 0
           240.000ns : [scb] a = 0000001f, b = e4a6c87a, mode = 0, sum = e4a6c899,carry = 0
[Pass] : a =         31, b = 3836135546, mode = 0, sum = 3836135577,carry = 0
           240.000ns : [gen] a = 0000001f, b = c3f780a8, mode = 0, sum = xxxxxxxx,carry = x
           240.000ns : [drv] a = 0000001f, b = c3f780a8, mode = 0, sum = xxxxxxxx,carry = x
           250.000ns : [mon] a = 0000001f, b = c3f780a8, mode = 0, sum = c3f780c7,carry = 0
           250.000ns : [scb] a = 0000001f, b = c3f780a8, mode = 0, sum = c3f780c7,carry = 0
[Pass] : a =         31, b = 3287777448, mode = 0, sum = 3287777479,carry = 0
           250.000ns : [gen] a = 0000003f, b = 1030c62a, mode = 0, sum = xxxxxxxx,carry = x
           250.000ns : [drv] a = 0000003f, b = 1030c62a, mode = 0, sum = xxxxxxxx,carry = x
           260.000ns : [mon] a = 0000003f, b = 1030c62a, mode = 0, sum = 1030c669,carry = 0
           260.000ns : [scb] a = 0000003f, b = 1030c62a, mode = 0, sum = 1030c669,carry = 0
[Pass] : a =         63, b =  271631914, mode = 0, sum =  271631977,carry = 0
           260.000ns : [gen] a = 0000007f, b = 9c0fc1eb, mode = 0, sum = xxxxxxxx,carry = x
           260.000ns : [drv] a = 0000007f, b = 9c0fc1eb, mode = 0, sum = xxxxxxxx,carry = x
           270.000ns : [mon] a = 0000007f, b = 9c0fc1eb, mode = 0, sum = 9c0fc26a,carry = 0
           270.000ns : [scb] a = 0000007f, b = 9c0fc1eb, mode = 0, sum = 9c0fc26a,carry = 0
[Pass] : a =        127, b = 2618278379, mode = 0, sum = 2618278506,carry = 0
           270.000ns : [gen] a = 0000000f, b = 0e03a9a0, mode = 0, sum = xxxxxxxx,carry = x
           270.000ns : [drv] a = 0000000f, b = 0e03a9a0, mode = 0, sum = xxxxxxxx,carry = x
           280.000ns : [mon] a = 0000000f, b = 0e03a9a0, mode = 0, sum = 0e03a9af,carry = 0
           280.000ns : [scb] a = 0000000f, b = 0e03a9a0, mode = 0, sum = 0e03a9af,carry = 0
[Pass] : a =         15, b =  235121056, mode = 0, sum =  235121071,carry = 0
           280.000ns : [gen] a = 0000003f, b = 1ddfd62f, mode = 0, sum = xxxxxxxx,carry = x
           280.000ns : [drv] a = 0000003f, b = 1ddfd62f, mode = 0, sum = xxxxxxxx,carry = x
           290.000ns : [mon] a = 0000003f, b = 1ddfd62f, mode = 0, sum = 1ddfd66e,carry = 0
           290.000ns : [scb] a = 0000003f, b = 1ddfd62f, mode = 0, sum = 1ddfd66e,carry = 0
[Pass] : a =         63, b =  501208623, mode = 0, sum =  501208686,carry = 0
           290.000ns : [gen] a = 00000000, b = dd851030, mode = 1, sum = xxxxxxxx,carry = x
           290.000ns : [drv] a = 00000000, b = dd851030, mode = 1, sum = xxxxxxxx,carry = x
           300.000ns : [mon] a = 00000000, b = dd851030, mode = 1, sum = 227aefd0,carry = 1
           300.000ns : [scb] a = 00000000, b = dd851030, mode = 1, sum = 227aefd0,carry = 1
[Pass] : a =          0, b = 3716485168, mode = 1, sum =  578482128,carry = 1
           300.000ns : [gen] a = 0000001f, b = ac076228, mode = 1, sum = xxxxxxxx,carry = x
           300.000ns : [drv] a = 0000001f, b = ac076228, mode = 1, sum = xxxxxxxx,carry = x
           310.000ns : [mon] a = 0000001f, b = ac076228, mode = 1, sum = 53f89df7,carry = 1
           310.000ns : [scb] a = 0000001f, b = ac076228, mode = 1, sum = 53f89df7,carry = 1
[Pass] : a =         31, b = 2886165032, mode = 1, sum = 1408802295,carry = 1
           310.000ns : [gen] a = 000003ff, b = d9f6db1a, mode = 0, sum = xxxxxxxx,carry = x
           310.000ns : [drv] a = 000003ff, b = d9f6db1a, mode = 0, sum = xxxxxxxx,carry = x
           320.000ns : [mon] a = 000003ff, b = d9f6db1a, mode = 0, sum = d9f6df19,carry = 0
           320.000ns : [scb] a = 000003ff, b = d9f6db1a, mode = 0, sum = d9f6df19,carry = 0
[Pass] : a =       1023, b = 3656833818, mode = 0, sum = 3656834841,carry = 0
           320.000ns : [gen] a = 000003ff, b = fbb3f0a5, mode = 1, sum = xxxxxxxx,carry = x
           320.000ns : [drv] a = 000003ff, b = fbb3f0a5, mode = 1, sum = xxxxxxxx,carry = x
           330.000ns : [mon] a = 000003ff, b = fbb3f0a5, mode = 1, sum = 044c135a,carry = 1
           330.000ns : [scb] a = 000003ff, b = fbb3f0a5, mode = 1, sum = 044c135a,carry = 1
[Pass] : a =       1023, b = 4222873765, mode = 1, sum =   72094554,carry = 1
           330.000ns : [gen] a = 0000007f, b = 35cd9777, mode = 0, sum = xxxxxxxx,carry = x
           330.000ns : [drv] a = 0000007f, b = 35cd9777, mode = 0, sum = xxxxxxxx,carry = x
           340.000ns : [mon] a = 0000007f, b = 35cd9777, mode = 0, sum = 35cd97f6,carry = 0
           340.000ns : [scb] a = 0000007f, b = 35cd9777, mode = 0, sum = 35cd97f6,carry = 0
[Pass] : a =        127, b =  902666103, mode = 0, sum =  902666230,carry = 0
           340.000ns : [gen] a = 0000ffff, b = d4fb6c28, mode = 0, sum = xxxxxxxx,carry = x
           340.000ns : [drv] a = 0000ffff, b = d4fb6c28, mode = 0, sum = xxxxxxxx,carry = x
           350.000ns : [mon] a = 0000ffff, b = d4fb6c28, mode = 0, sum = d4fc6c27,carry = 0
           350.000ns : [scb] a = 0000ffff, b = d4fb6c28, mode = 0, sum = d4fc6c27,carry = 0
[Pass] : a =      65535, b = 3573247016, mode = 0, sum = 3573312551,carry = 0
           350.000ns : [gen] a = 0000003f, b = 23995275, mode = 0, sum = xxxxxxxx,carry = x
           350.000ns : [drv] a = 0000003f, b = 23995275, mode = 0, sum = xxxxxxxx,carry = x
           360.000ns : [mon] a = 0000003f, b = 23995275, mode = 0, sum = 239952b4,carry = 0
           360.000ns : [scb] a = 0000003f, b = 23995275, mode = 0, sum = 239952b4,carry = 0
[Pass] : a =         63, b =  597250677, mode = 0, sum =  597250740,carry = 0
           360.000ns : [gen] a = 000003ff, b = 07405eaa, mode = 1, sum = xxxxxxxx,carry = x
           360.000ns : [drv] a = 000003ff, b = 07405eaa, mode = 1, sum = xxxxxxxx,carry = x
           370.000ns : [mon] a = 000003ff, b = 07405eaa, mode = 1, sum = f8bfa555,carry = 1
           370.000ns : [scb] a = 000003ff, b = 07405eaa, mode = 1, sum = f8bfa555,carry = 1
[Pass] : a =       1023, b =  121659050, mode = 1, sum = 4173309269,carry = 1
           370.000ns : [gen] a = 000003ff, b = d1661378, mode = 1, sum = xxxxxxxx,carry = x
           370.000ns : [drv] a = 000003ff, b = d1661378, mode = 1, sum = xxxxxxxx,carry = x
           380.000ns : [mon] a = 000003ff, b = d1661378, mode = 1, sum = 2e99f087,carry = 1
           380.000ns : [scb] a = 000003ff, b = d1661378, mode = 1, sum = 2e99f087,carry = 1
[Pass] : a =       1023, b = 3513127800, mode = 1, sum =  781840519,carry = 1
           380.000ns : [gen] a = 00000000, b = e92b5d65, mode = 1, sum = xxxxxxxx,carry = x
           380.000ns : [drv] a = 00000000, b = e92b5d65, mode = 1, sum = xxxxxxxx,carry = x
           390.000ns : [mon] a = 00000000, b = e92b5d65, mode = 1, sum = 16d4a29b,carry = 1
           390.000ns : [scb] a = 00000000, b = e92b5d65, mode = 1, sum = 16d4a29b,carry = 1
[Pass] : a =          0, b = 3911933285, mode = 1, sum =  383034011,carry = 1
           390.000ns : [gen] a = 0000003f, b = 2ceb288e, mode = 1, sum = xxxxxxxx,carry = x
           390.000ns : [drv] a = 0000003f, b = 2ceb288e, mode = 1, sum = xxxxxxxx,carry = x
           400.000ns : [mon] a = 0000003f, b = 2ceb288e, mode = 1, sum = d314d7b1,carry = 1
           400.000ns : [scb] a = 0000003f, b = 2ceb288e, mode = 1, sum = d314d7b1,carry = 1
[Pass] : a =         63, b =  753608846, mode = 1, sum = 3541358513,carry = 1
           400.000ns : [gen] a = 0000001f, b = 356aed74, mode = 0, sum = xxxxxxxx,carry = x
           400.000ns : [drv] a = 0000001f, b = 356aed74, mode = 0, sum = xxxxxxxx,carry = x
           410.000ns : [mon] a = 0000001f, b = 356aed74, mode = 0, sum = 356aed93,carry = 0
           410.000ns : [scb] a = 0000001f, b = 356aed74, mode = 0, sum = 356aed93,carry = 0
[Pass] : a =         31, b =  896200052, mode = 0, sum =  896200083,carry = 0
           410.000ns : [gen] a = 0000003f, b = e5a2eaeb, mode = 0, sum = xxxxxxxx,carry = x
           410.000ns : [drv] a = 0000003f, b = e5a2eaeb, mode = 0, sum = xxxxxxxx,carry = x
           420.000ns : [mon] a = 0000003f, b = e5a2eaeb, mode = 0, sum = e5a2eb2a,carry = 0
           420.000ns : [scb] a = 0000003f, b = e5a2eaeb, mode = 0, sum = e5a2eb2a,carry = 0
[Pass] : a =         63, b = 3852659435, mode = 0, sum = 3852659498,carry = 0
           420.000ns : [gen] a = 00000000, b = b350a2aa, mode = 0, sum = xxxxxxxx,carry = x
           420.000ns : [drv] a = 00000000, b = b350a2aa, mode = 0, sum = xxxxxxxx,carry = x
           430.000ns : [mon] a = 00000000, b = b350a2aa, mode = 0, sum = b350a2aa,carry = 0
           430.000ns : [scb] a = 00000000, b = b350a2aa, mode = 0, sum = b350a2aa,carry = 0
[Pass] : a =          0, b = 3008406186, mode = 0, sum = 3008406186,carry = 0
           430.000ns : [gen] a = 0000000f, b = e7fd6ad4, mode = 1, sum = xxxxxxxx,carry = x
           430.000ns : [drv] a = 0000000f, b = e7fd6ad4, mode = 1, sum = xxxxxxxx,carry = x
           440.000ns : [mon] a = 0000000f, b = e7fd6ad4, mode = 1, sum = 1802953b,carry = 1
           440.000ns : [scb] a = 0000000f, b = e7fd6ad4, mode = 1, sum = 1802953b,carry = 1
[Pass] : a =         15, b = 3892144852, mode = 1, sum =  402822459,carry = 1
           440.000ns : [gen] a = 0000003f, b = 82d6167b, mode = 1, sum = xxxxxxxx,carry = x
           440.000ns : [drv] a = 0000003f, b = 82d6167b, mode = 1, sum = xxxxxxxx,carry = x
           450.000ns : [mon] a = 0000003f, b = 82d6167b, mode = 1, sum = 7d29e9c4,carry = 1
           450.000ns : [scb] a = 0000003f, b = 82d6167b, mode = 1, sum = 7d29e9c4,carry = 1
[Pass] : a =         63, b = 2195068539, mode = 1, sum = 2099898820,carry = 1
